child_value,danaos_co_code,database,company,short_name,name,managed_by,company_group,chart,company_type,base_currency,remarks,group_flag_1,group_flag_2,official_currency,global_vessel_id,create_intercompanies,is_filing,active_flag,company_level,bank_ledger,group_details_from,group_details_to,tonnage_tax_from,tonnage_tax_to,vat_group_from,vat_group_to,incexp_managed_by
4155,1422,,1422,BANDA SEA,BANDA SEA,13,R,C,V,USD,"Ex BM Mimosa, bb charter fm Asian Cruiser wef13/7/12,fm FOSI to PW-Sep12 reportg, TPM to EPS mgt wef13/11/13",1,1,USD,,Y,Y,Y,0,,,,,,,,
4156,2023,,2023,BELLA,BELLA,13,R,C,V,USD,"Name chg fm Ex MSC Bellatrix to Bella on 12/4/15 at 2000 hrs LT, Ex Norasia Bellatrix",1,1,USD,,Y,Y,Y,0,,,,,,,,
4157,2004,,2004,BOTSWANA N,BOTSWANA N,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
4479,46,QPSL,46,Woods Finance,Woods Finance Inc,40,U,C,M,USD,,1,3,USD,,Y,Y,Y,0,,,,,,,,
4479,46,EPS,46,Woods Finance,Woods Finance Inc,40,U,C,M,USD,,1,3,USD,,Y,Y,Y,0,,,,,,,,
4761,47,QPSL,47,Scotton Holdings,Scotton Holdings Inc,40,U,C,M,USD,,1,3,USD,,Y,Y,Y,0,,,,,,,,
4761,47,EPS,47,Scotton Holdings,Scotton Holdings Inc,40,U,C,M,USD,,1,3,USD,,Y,Y,Y,0,,,,,,,,
4343,1139,,1139,SAVANNAH,SAVANNAH,13,P,C,V,USD,"Ex Eagle Sagitta, Mgt trf from TPMS to EPS on 27/11/13",1,1,USD,,Y,Y,Y,0,,,,,,,,
4371,49,,49,Tankers Brazil,Tankers Brazil,40,U,C,M,USD,,1,3,USD,,Y,Y,Y,0,,,,,,,,
4372,52,,52,SA Tanker Co,South American Tanker Company SA,40,U,C,M,USD,,1,3,USD,,Y,Y,Y,0,,,,,,,,
6161,48,QPSL,48,Arzel BVI,Arzel Shipping Inc,40,U,C,M,USD,,1,3,USD,,Y,Y,Y,0,,,,,,,,
6161,48,EPS,48,Arzel BVI,Arzel Shipping Inc,40,U,C,M,USD,,1,3,USD,,Y,Y,Y,0,,,,,,,,
4472,2090,,2090,LAKE KIVU,LAKE KIVU,40,U,C,V,USD,EX CSAV RIO IMPERIAL,1,1,USD,,Y,Y,Y,0,,,,,,,,
4473,2086,,2086,KOWLOON BAY,KOWLOON BAY,40,U,C,V,USD,"Name chg fm Pusan to Kowloon Bay wef 4/4/17, previously name chg fm Zim Pusan to Pusan wef 29/5/14",1,1,USD,,Y,Y,Y,0,,,,,,,,
4474,2093,,2093,LAKE WANAKA,LAKE WANAKA,40,U,C,V,USD,Name chg from Triumph to Lake Wanaka wef 28/6/19,1,1,USD,,Y,Y,Y,0,,,,,,,,
4476,2088,,2088,LAKE SUPERIOR,LAKE SUPERIOR,40,U,C,V,USD,Name chg fm CSAV Rio Aysen on 25/8/16,1,1,USD,,Y,Y,Y,0,,,,,,,,
5005,2013,,2013,MOUNT APO,MOUNT APO,13,W,C,V,USD,Name chg from Cape Seagull to Mount Apo on 31/7/15,1,1,USD,,Y,Y,Y,0,,,,,,,,
4478,2091,,2091,LAKE TAUPO,LAKE TAUPO,40,U,C,V,USD,"Ex Morning Miracle, Name chg to Lake Taupo on 9/2/17",1,1,USD,,Y,Y,Y,0,,,,,,,,
5501,2013,,2013,MOUNT APO,MOUNT APO,13,W,C,V,USD,Name chg from Cape Seagull to Mount Apo on 31/7/15,1,1,USD,,Y,Y,Y,0,,,,,,,,
4481,2071,,2071,HAMBURG BAY,HAMBURG BAY,40,U,C,V,USD,"Name chg fm Zim Hamburg to Hamburg Bay wef 25/9/16, Ex APL Tokyo - name chg wef 11/4/14",1,1,USD,,Y,Y,Y,0,,,,,,,,
4153,2036,QPSL,2036,MOUNT NEVIS,MOUNT NEVIS,13,R,C,V,USD,"Ex Cape Harrier, Redy fm TC fm Disp Owner Edelweiss,simult. del into BB chtr fm owner Fair Wind on 14/5/15 0700 LT",1,1,USD,,Y,Y,Y,0,,,,,,,,
4153,2036,EPS,2036,MOUNT NEVIS,MOUNT NEVIS,13,R,C,V,USD,"Ex Cape Harrier, Redy fm TC fm Disp Owner Edelweiss,simult. del into BB chtr fm owner Fair Wind on 14/5/15 0700 LT",1,1,USD,,Y,Y,Y,0,,,,,,,,
4153,2070,QPSL,2070,KENT,KENT,13,R,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
4762,2075,,2075,HYUNDAI LONG BEA,HYUNDAI LONG BEACH,40,U,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
4763,2079,,2079,HYUNDAI TACOMA,HYUNDAI TACOMA,40,U,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
4153,2070,EPS,2070,KENT,KENT,13,R,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
4153,2072,QPSL,2072,BOTSWANA,BOTSWANA,13,R,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
